ID,MW,cLogP,HAcceptors,HDonors,Activity
65047,416.384,4.3933,7,0,1
72652,309.286,3.0237,3,0,1
100335,347.417,3.0835,5,0,1
185146,327.339,1.4206,7,0,1
203396,329.979,2.725,3,0,1
305244,333.302,1.6836,7,0,1
305322,326.307,1.5662,7,0,1
355876,241.681,2.9244,3,0,1
373692,279.775,1.9858,3,0,1
379416,347.998,2.3919,5,0,1
406463,254.192,0.4826,5,0,1
511501,292.425,5.2345,2,0,1
535721,284.236,2.1376,4,0,1
603361,218.643,2.9242,3,0,1
609295,204.616,2.6908,3,0,1
648878,330.608,3.3638,3,0,1
649054,382.436,2.9577,8,0,1
657803,297.14,2.6847,4,0,1
661834,354.816,3.7014,4,0,1
661889,263.299,3.012,4,0,1
661897,252.32,2.1262,4,0,1
664134,260.299,2.632,4,0,1
675202,273.094,2.0316,3,0,1
701067,331.439,3.42,3,0,1
702952,348.408,4.0713,4,0,1
704848,333.302,2.456,7,0,1
727631,305.76,2.6538,4,0,1
744061,244.253,0.513,6,0,1
756377,319.743,2.2457,5,0,1
769903,270.247,1.0611,7,0,1
829764,232.282,1.7212,4,0,1
846392,331.394,3.8879,3,0,1
849396,289.549,2.6406,3,0,1
850073,327.443,2.6206,5,0,1
875407,342.421,5.4628,3,0,1
887759,243.261,2.3005,4,0,1
900971,317.559,2.0786,4,0,1
1009410,435.378,3.7888,5,0,1
1108212,384.232,3.2665,5,0,1
1151859,374.338,2.0479,6,0,1
1205758,391.857,4.4727,5,0,1
1218173,319.275,2.1121,7,0,1
1224769,364.243,1.9442,6,0,1
1307421,453.542,3.2017,7,0,1
1357612,354.448,3.1312,5,0,1
1447917,305.804,3.1947,3,0,1
1472977,448.157,4.8452,3,0,1
1474462,317.103,2.0409,5,0,1
1474465,313.139,2.284,5,0,1
1474911,352.025,1.8209,4,0,1
1487485,344.006,3.0689,3,0,1
1507407,277.661,3.126,3,0,1
1527415,363.383,5.3532,4,0,1
1973785,406.505,3.9719,5,0,1
2031089,316.407,4.2512,4,0,1
2036162,302.38,3.7968,4,0,1
2079329,324.352,2.2615,6,0,1
2109969,369.419,4.2484,4,0,1
2112599,346.826,2.797,6,0,1
2121567,315.738,2.5945,5,0,1
2124454,301.128,2.5053,5,0,1
2136882,413.451,5.3752,5,0,1
2136890,431.441,5.476,5,0,1
2136899,431.441,5.476,5,0,1
2136907,427.478,5.7191,5,0,1
2136917,427.478,5.7191,5,0,1
2136935,443.477,5.3052,6,0,1
2137463,298.708,3.0792,4,0,1
2173523,330.402,2.8169,4,0,1
2221657,353.721,2.7181,7,0,1
2233093,333.39,3.966,5,0,1
2320547,391.878,1.9065,6,0,1
2332535,283.325,3.4269,2,0,1
2337349,384.153,4.28,2,0,1
2430298,324.166,1.6919,5,0,1
2566108,309.864,3.5199,3,0,1
2766929,287.749,3.13,4,0,1
2841077,198.138,-0.3142,8,0,1
2897110,468.593,2.5533,8,0,1
2898097,347.441,3.8669,4,0,1
2957085,325.304,2.3869,7,0,1
2959486,285.39,2.5755,4,0,1
3129452,337.294,1.3329,9,0,1
3129671,282.338,3.8603,3,0,1
3236803,302.275,1.993,4,0,1
3385684,392.505,5.2865,4,0,1
3658423,385.422,4.1117,6,0,1
3774666,429.862,3.4934,6,0,1
4051302,464.904,3.871,7,0,1
4594104,429.862,3.4934,6,0,1
4620544,499.349,4.477,7,0,1
5121711,320.391,3.6962,4,0,1
5333955,366.241,-1.1615,2,0,1
5346216,330.224,3.9254,2,0,1
5349489,293.365,2.9728,3,0,1
5378081,280.394,3.7702,2,0,1
5379238,358.278,4.738,2,0,1
5730347,280.326,3.0568,4,0,1
5737730,322.146,4.7186,4,0,1
5739533,308.448,4.5828,2,0,1
5758845,411.549,1.7873,5,0,1
5760164,532.615,4.8854,8,0,1
5863319,462.511,5.2685,3,0,1
5908395,327.766,3.8482,4,0,1
5914494,473.41,5.1454,3,0,1
6001289,380.439,4.216,5,0,1
6031948,356.513,4.1774,3,0,1
6157225,280.37,2.6566,3,0,1
6236941,359.472,3.7031,4,0,1
6260437,492.592,6.3186,5,0,1
6362905,379.287,2.8377,5,0,1
6371672,294.397,2.9259,3,0,1
6451074,382.454,3.2375,5,0,1
10864994,610.729,4.4012,4,0,1
11835237,334.442,4.9186,3,0,1
11839287,467.588,3.4413,7,0,1
15945051,512.244,4.7112,3,0,1
16188836,332.152,4.2318,4,0,1
16193971,352.436,5.25,3,0,1
16196319,440.311,-0.601,3,0,1
14610,226.234,2.079,4,1,1
94381,333.39,2.9507,5,1,1
100641,229.157,1.3826,3,1,1
202512,288.305,3.0059,4,1,1
399112,295.321,2.1127,5,1,1
629074,317.371,3.5697,4,1,1
653949,223.658,2.1578,3,1,1
658104,413.497,3.285,7,1,1
661810,342.364,3.5922,3,1,1
662176,318.379,3.6047,5,1,1
665132,277.347,2.634,5,1,1
666746,382.47,4.2261,6,1,1
741237,194.233,-0.2634,4,1,1
748054,289.314,0.9726,6,1,1
760116,283.248,2.4213,3,1,1
763443,280.326,3.6908,4,1,1
763676,225.246,2.1822,3,1,1
771697,274.363,1.895,4,1,1
784948,219.214,1.806,3,1,1
787333,310.397,2.6685,5,1,1
791477,219.239,0.8277,4,1,1
814441,283.761,3.1097,3,1,1
815515,318.783,3.3335,4,1,1
839988,320.351,1.864,6,1,1
845544,333.438,4.3675,3,1,1
872665,253.26,1.1623,5,1,1
892462,286.334,1.3928,6,1,1
930578,336.458,4.2211,3,1,1
942046,349.335,3.4631,4,1,1
977785,345.809,3.4579,5,1,1
984326,358.44,3.6702,4,1,1
988543,388.491,1.2385,7,1,1
1001295,365.456,3.8695,5,1,1
1004085,420.488,3.7692,6,1,1
1004092,390.462,3.8392,5,1,1
1005239,367.883,4.9735,3,1,1
1005277,380.491,4.2396,4,1,1
1036385,390.462,3.8392,5,1,1
1073564,399.424,3.5169,5,1,1
1090196,378.815,2.2163,8,1,1
1104217,350.289,2.0795,9,1,1
1108211,370.205,3.0978,5,1,1
1215664,360.436,3.9092,4,1,1
1244224,245.281,2.2038,5,1,1
1253074,455.925,2.4223,8,1,1
1262928,380.446,3.9627,4,1,1
1304074,372.423,4.1705,5,1,1
1316236,394.518,3.9768,4,1,1
1325504,492.526,3.4008,9,1,1
1325822,353.425,4.0886,5,1,1
1326324,517.479,3.9031,7,1,1
1361490,372.423,4.1705,5,1,1
1389577,346.405,2.9094,4,1,1
1446268,349.48,3.2725,5,1,1
1473969,374.674,4.5648,3,1,1
1475343,431.295,2.645,7,1,1
1482534,314.795,4.6335,3,1,1
1796110,332.402,3.4296,4,1,1
1829959,487.563,3.1822,8,1,1
2044030,448.933,4.2888,6,1,1
2117079,414.447,3.1638,5,1,1
2215233,312.392,3.5278,4,1,1
2220410,408.525,2.9978,6,1,1
2254616,444.426,3.5344,9,1,1
2268454,239.317,3.401,2,1,1
2370680,530.535,2.1977,11,1,1
2384174,375.471,4.1595,5,1,1
2405263,376.751,1.4707,8,1,1
2407399,404.805,2.3314,8,1,1
2439209,383.234,0.9992,7,1,1
2463883,383.402,3.8035,5,1,1
2585205,370.191,1.6244,7,1,1
2666619,248.305,2.3605,4,1,1
2840784,369.868,4.0033,5,1,1
2862265,465.576,4.7293,5,1,1
2905495,400.781,1.3796,10,1,1
2920668,517.479,3.9031,7,1,1
2932011,361.173,3.3805,5,1,1
2937718,372.423,4.1705,5,1,1
2950551,336.369,3.7055,5,1,1
2974588,350.333,0.3549,8,1,1
2976158,423.92,1.8203,7,1,1
2981691,349.386,0.5856,8,1,1
2997707,394.377,1.999,8,1,1
2998049,363.464,3.6464,6,1,1
2999890,365.479,3.3275,6,1,1
3000028,368.823,3.6985,6,1,1
3128197,228.595,0.9417,7,1,1
3146895,233.243,0.4834,6,1,1
3237441,449.355,2.0485,7,1,1
3243630,456.522,2.4984,9,1,1
3243696,405.836,3.0648,6,1,1
3244608,257.34,1.9512,5,1,1
3245049,351.405,3.3562,6,1,1
3245097,467.592,2.983,8,1,1
3368501,342.397,4.8408,4,1,1
3373363,390.449,4.0539,6,1,1
3573522,374.499,3.8735,4,1,1
3768880,511.451,4.5528,7,1,1
3798575,267.351,4.2822,2,1,1
3841103,253.324,3.9383,2,1,1
3934060,532.35,2.8274,11,1,1
4084629,404.51,4.2466,6,1,1
4204023,281.378,4.6261,2,1,1
4205241,312.803,3.1695,4,1,1
4271672,351.428,4.4683,3,1,1
4272091,495.562,3.5807,8,1,1
4681472,524.6,4.5116,8,1,1
4835204,420.491,5.5662,4,1,1
4889526,386.458,2.9359,7,1,1
4897494,418.503,4.4222,6,1,1
4966967,425.507,5.6606,4,1,1
4971561,432.53,4.8766,6,1,1
5014184,356.352,2.1614,6,1,1
5094436,381.17,1.7033,7,1,1
5285231,354.452,5.1686,3,1,1
5296050,295.344,4.1116,3,1,1
5334290,388.513,4.5702,5,1,1
5334671,532.576,3.7559,10,1,1
5336330,420.488,3.925,6,1,1
5336533,229.302,2.4931,2,1,1
5341736,294.269,1.7841,7,1,1
5400800,329.467,3.1773,4,1,1
5720702,347.373,5.2674,6,1,1
5732023,407.473,3.0427,6,1,1
5736224,496.586,5.3217,6,1,1
5750556,383.41,4.8383,7,1,1
5825928,420.532,4.2835,5,1,1
5857072,283.33,4.6167,5,1,1
5860596,444.529,4.3516,6,1,1
5933290,307.312,3.5087,7,1,1
5933890,261.323,3.7411,2,1,1
5936678,363.42,4.9383,7,1,1
5952922,245.237,3.0459,6,1,1
5978544,420.532,4.5196,5,1,1
5999709,442.585,5.8505,5,1,1
6092126,416.476,3.7403,6,1,1
6103405,303.316,3.2604,4,1,1
6248815,422.576,4.5387,5,1,1
6249312,297.356,4.5376,2,1,1
6385751,269.303,4.3116,5,1,1
6406850,431.543,4.8778,6,1,1
6465514,301.432,3.2229,4,1,1
6873208,548.575,3.4044,11,1,1
6876748,583.02,3.948,11,1,1
9550584,452.598,2.9611,8,1,1
9559971,429.475,4.4171,7,1,1
9581694,305.361,3.4826,7,1,1
9606709,361.4,5.6113,6,1,1
9619313,449.893,4.6792,7,1,1
9624199,342.789,2.9189,7,1,1
9627448,398.421,5.8123,7,1,1
9633315,396.409,4.6351,8,1,1
9647206,299.285,3.9686,7,1,1
9658313,295.297,4.3628,6,1,1
11325914,362.209,-1.0185,2,1,1
11835305,410.58,4.0461,4,1,1
11835306,396.553,3.6398,4,1,1
11835308,408.564,3.7997,4,1,1
12005721,393.897,4.7561,4,1,1
16193043,474.675,4.5251,6,1,1
16193843,412.493,2.5906,7,1,1
54718136,390.481,4.5585,5,1,1
135408359,347.393,3.5422,4,1,1
135497951,267.331,4.3363,4,1,1
661898,349.368,3.4424,6,2,1
666371,365.412,3.1524,6,2,1
892621,329.379,2.6464,6,2,1
969516,368.384,2.949,6,2,1
990640,415.516,4.7045,5,2,1
991372,382.454,4.191,5,2,1
1173617,491.493,2.4119,8,2,1
1260914,414.481,2.267,7,2,1
1617287,356.401,2.0526,6,2,1
1773030,433.604,4.7865,6,2,1
1893291,368.278,3.1228,4,2,1
1928929,408.529,4.8226,5,2,1
2084247,275.307,0.7151,6,2,1
2133793,476.551,5.0453,5,2,1
2162673,282.363,3.0694,5,2,1
2186107,283.326,2.4027,4,2,1
2336835,453.517,4.5825,6,2,1
2375939,353.344,3.762,5,2,1
2845811,257.76,1.5663,3,2,1
2861516,359.452,5.1496,4,2,1
3000025,362.432,3.3751,6,2,1
3136571,309.392,3.9552,4,2,1
3243384,332.355,1.3495,7,2,1
3243672,372.879,3.9177,5,2,1
3244704,368.46,3.2417,6,2,1
3505567,353.421,1.4752,6,2,1
3590153,315.372,1.225,6,2,1
3745344,361.404,3.2716,7,2,1
3857706,294.697,1.1809,7,2,1
5115564,467.576,2.7177,6,2,1
5147737,332.406,3.4451,5,2,1
5291770,418.472,3.9503,6,2,1
5446512,452.513,3.3885,7,2,1
5549699,313.36,2.1545,7,2,1
5599895,327.387,2.4984,7,2,1
5740162,466.539,4.6611,7,2,1
5740603,319.319,2.0664,6,2,1
5765499,376.289,3.1912,6,2,1
5769124,438.486,3.818,7,2,1
5770966,418.488,1.2625,8,2,1
6223700,435.503,3.3495,7,2,1
6603435,339.319,3.8951,2,1,1
6903194,504.634,5.0238,7,2,1
9591202,500.518,5.0139,12,2,1
12005314,428.428,2.4171,11,2,1
15944846,310.249,2.8223,3,2,1
16187234,410.337,4.6545,2,1,1
16189758,377.368,5.1089,2,1,1
16192614,381.4,5.1459,2,1,1
16192765,367.373,4.6915,2,1,1
135400437,302.281,1.1471,6,2,1
135421491,294.313,4.3566,6,2,1
135433277,332.185,4.7572,3,2,1
135439811,306.708,2.7963,7,2,1
135440580,271.275,3.5115,6,2,1
135455118,264.283,1.8892,4,2,1
135455168,331.374,2.3339,5,2,1
135472352,280.286,3.9587,6,2,1
647846,351.453,2.9282,6,3,1
727850,337.358,2.369,6,3,1
803313,337.378,2.1704,6,3,1
999758,413.328,3.2815,6,3,1
1798162,421.497,2.0904,8,3,1
3449225,526.598,4.1341,8,3,1
4269692,526.598,4.1341,8,3,1
4325987,512.572,3.7902,8,3,1
135420208,433.744,3.2182,7,3,1
135490259,380.41,5.2998,7,3,1
135490270,479.516,4.5857,10,3,1
135490286,465.489,4.1878,10,3,1
135490285,469.908,4.8638,9,3,1
160115,518.473,4.3168,10,6,1
