Ligand,Binding Affinity
F0554-0835,-8.2
F1885-0134,-7.8
F5076-0070,-7.7
F3273-0673,-7.6
F0554-0022,-7.5
F3215-0044,-7.4
F0617-0312,-7.3
F0617-0286,-7.3
F3225-8556,-7.2
F5890-0143,-7.2
F2214-0130,-7.2
F0617-0182,-7.1
F0554-0607,-7.1
F1885-0588,-7.0
F1885-0454,-6.9
F0554-0094,-6.9
F0617-0156,-6.9
F0554-0379,-6.9
F0617-0026,-6.8
F0617-0442,-6.8
F0617-0052,-6.8
F0617-0364,-6.8
F6203-1614,-6.7
F0617-0352,-6.7
F0617-0260,-6.6
F0617-0042,-6.6
F6203-1942,-6.6
F5311-0088,-6.6
F6200-1553,-6.5
F1885-0568,-6.5
F0617-0416,-6.5
F6451-0665,-6.4
F6521-7868,-6.3
F2879-0862,-6.1
F1885-0135,-6.1
F3023-0011,-6.1
F6420-0636,-6.1
F2879-3845,-6.1
F0617-0354,-6.1
F1885-0090,-6.0
F5310-0072,-6.0
F5857-7570,-5.9
F6420-0139,-5.9
F2964-0862,-5.9
F2883-0545,-5.9
F5831-7948,-5.8
F6445-6883,-5.8
F6451-1593,-5.8
F0291-0021,-5.7
F5222-0010,-5.7
F5310-0017,-5.6
F0421-0040,-5.6
F6451-2637,-5.6
F6357-0949,-5.6
F6451-2638,-5.5
F6420-0035,-5.4
F6420-0562,-5.4
F5526-0421,-5.4
F5310-0025,-5.3
F5832-0080,-5.3
F5526-0209,-4.9
